,date,close,ticker
0,2021-09-01,29.541897033309933,CART
1,2021-09-02,28.336883444213868,CART
2,2021-09-03,28.21854631004334,CART
3,2021-09-06,28.6827902961731,CART
4,2021-09-08,27.39970372962952,CART
5,2021-09-09,27.81639213905335,CART
6,2021-09-10,27.792021131515504,CART
7,2021-09-13,28.356526930999756,CART
8,2021-09-14,28.026107459640503,CART
9,2021-09-15,27.762057328414922,CART
10,2021-09-16,28.073235893249514,CART
11,2021-09-17,27.495612496566775,CART
12,2021-09-20,26.61766953468323,CART
13,2021-09-21,27.15586177062989,CART
14,2021-09-22,27.757570690917973,CART
15,2021-09-23,28.055765544509896,CART
16,2021-09-24,27.750552890396122,CART
17,2021-09-27,28.419349077606206,CART
18,2021-09-28,27.8398545917511,CART
19,2021-09-29,28.067975721359254,CART
20,2021-09-30,27.655662921524048,CART
21,2021-10-01,28.320079188537598,CART
22,2021-10-04,27.456243399429322,CART
23,2021-10-05,28.589934661102298,CART
24,2021-10-06,28.660879217910768,CART
25,2021-10-07,28.2906971157074,CART
26,2021-10-08,28.819731999969484,CART
27,2021-10-11,28.504163333892826,CART
28,2021-10-13,28.530524935531616,CART
29,2021-10-14,28.394860861587524,CART
30,2021-10-15,29.352438837051395,CART
31,2021-10-18,29.824183710098268,CART
32,2021-10-19,28.47990195808411,CART
33,2021-10-20,29.09405788612366,CART
34,2021-10-21,27.966877146148683,CART
35,2021-10-22,27.09154804992676,CART
36,2021-10-25,27.648022587203982,CART
37,2021-10-26,27.307415466690067,CART
38,2021-10-27,27.33988819694519,CART
39,2021-10-28,27.139553313446047,CART
40,2021-10-29,26.6884560382843,CART
41,2021-11-01,27.396621234130862,CART
42,2021-11-03,27.542143158340455,CART
43,2021-11-04,26.686037056350713,CART
44,2021-11-05,27.2343292175293,CART
45,2021-11-08,27.288828564453127,CART
46,2021-11-09,27.183515185928346,CART
47,2021-11-10,28.397703894805915,CART
48,2021-11-11,27.977833697128297,CART
49,2021-11-12,27.97354336128235,CART
50,2021-11-16,27.613390023422244,CART
51,2021-11-17,27.33454439315796,CART
52,2021-11-18,27.11421640625,CART
53,2021-11-19,27.057464139175416,CART
54,2021-11-22,26.865988434982302,CART
55,2021-11-23,27.53396450881958,CART
56,2021-11-24,28.083704319763186,CART
57,2021-11-25,29.277894753265386,CART
58,2021-11-26,28.308912873077396,CART
59,2021-11-29,28.309893104171756,CART
60,2021-11-30,28.92770803451538,CART
61,2021-12-01,28.50073459892273,CART
62,2021-12-02,29.365779236984256,CART
63,2021-12-03,29.377528958129886,CART
64,2021-12-06,30.10234219169617,CART
65,2021-12-07,29.67489579277039,CART
66,2021-12-08,29.743655477523806,CART
67,2021-12-09,29.05073921165467,CART
68,2021-12-10,29.384342395019534,CART
69,2021-12-13,29.09176689682007,CART
70,2021-12-14,29.013688699722287,CART
71,2021-12-15,28.631637696456913,CART
72,2021-12-16,28.621589130020144,CART
73,2021-12-17,27.70364354133606,CART
74,2021-12-20,26.9206692024231,CART
75,2021-12-21,26.93578489494324,CART
76,2021-12-22,26.82752109603882,CART
77,2021-12-23,26.77196374511719,CART
78,2021-12-27,26.876466533660892,CART
79,2021-12-28,26.736411655044552,CART
80,2021-12-29,26.584484272003177,CART
81,2021-12-30,26.452605046081544,CART
82,2022-01-03,26.561327754974368,CART
83,2022-01-04,26.668388375473025,CART
84,2022-01-05,26.254731124496463,CART
85,2022-01-06,26.505525544738774,CART
86,2022-01-07,26.615157498550417,CART
87,2022-01-10,26.77301322555542,CART
88,2022-01-11,26.896825957107545,CART
89,2022-01-12,27.039795130157472,CART
90,2022-01-13,27.507594306182863,CART
91,2022-01-14,28.081032402420046,CART
92,2022-01-17,28.142581781005862,CART
93,2022-01-18,28.389189228057866,CART
94,2022-01-19,28.545310431671144,CART
95,2022-01-20,28.64362720413208,CART
96,2022-01-21,28.622133190917975,CART
97,2022-01-24,28.775853007507322,CART
98,2022-01-25,29.623597048568726,CART
99,2022-01-26,29.43797523651123,CART
100,2022-01-27,29.815661486053468,CART
101,2022-01-28,29.98960629463196,CART
102,2022-01-31,30.19417917671204,CART
103,2022-02-01,30.17241627082825,CART
104,2022-02-02,29.650891456222535,CART
105,2022-02-03,29.883988190460204,CART
106,2022-02-04,29.875870560836795,CART
107,2022-02-07,29.596932840347293,CART
108,2022-02-08,29.84441532096863,CART
109,2022-02-09,29.260692514419556,CART
110,2022-02-10,29.617975023651123,CART
111,2022-02-11,30.549224757385257,CART
112,2022-02-14,30.658055759429935,CART
113,2022-02-15,31.82975126037598,CART
114,2022-02-16,32.000589632034306,CART
115,2022-02-17,31.906091933441168,CART
116,2022-02-18,32.454927866745,CART
117,2022-02-21,31.78794024543762,CART
118,2022-02-22,32.04465094718934,CART
119,2022-02-23,32.118706847381596,CART
120,2022-02-24,31.1308767036438,CART
121,2022-02-25,31.603933267211914,CART
122,2022-03-02,31.820586587142948,CART
123,2022-03-03,31.289869304656985,CART
124,2022-03-04,30.5159688873291,CART
125,2022-03-07,29.32834556732178,CART
126,2022-03-08,29.529648927688598,CART
127,2022-03-09,31.23363900413513,CART
128,2022-03-10,30.888528860473635,CART
129,2022-03-11,30.37701810684204,CART
130,2022-03-14,30.6339955821991,CART
131,2022-03-15,30.17927641067505,CART
132,2022-03-16,30.61712408180237,CART
133,2022-03-17,30.927433490753174,CART
134,2022-03-18,30.89919044075012,CART
135,2022-03-21,31.55444835395813,CART
136,2022-03-22,32.130574715805054,CART
137,2022-03-23,31.974312994003295,CART
138,2022-03-24,32.30987434501648,CART
139,2022-03-25,32.37132032318116,CART
140,2022-03-28,32.0883423034668,CART
141,2022-03-29,32.28276996078492,CART
142,2022-03-30,32.130317233276365,CART
143,2022-03-31,31.904370623016362,CART
144,2022-04-01,31.891346495437627,CART
145,2022-04-04,31.5962809299469,CART
146,2022-04-05,30.77493790893555,CART
147,2022-04-06,30.883724616241455,CART
148,2022-04-07,31.366862808990483,CART
149,2022-04-08,31.815800150299076,CART
150,2022-04-11,31.950101789474488,CART
151,2022-04-12,31.81088142433167,CART
152,2022-04-13,31.97043990402222,CART
153,2022-04-14,31.992270825958258,CART
